"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","99/3495","158/8361",0.626582278481013,1.49895691856359,5.36594124642409,7.91723139395769e-08,2.78686545067311e-05,2.54184797384957e-05,"4175/8556/1030/595/27085/9319/1017/1871/1019/1869/5933/9088/990/545/23594/5591/8317/7042/51434/1111/983/1875/4172/4085/113130/151648/994/26271/64682/4609/3066/701/1026/9134/10926/90381/699/993/890/7532/891/25847/898/8318/7027/5001/4171/10393/8881/6502/4176/5925/4173/1022/23047/5347/7465/7272/80174/11200/5516/1663/5111/57082/81620/9232/4089/10459/23595/10403/5525/4998/9700/8243/8379/55869/1870/157570/1647/991/9212/4088/995/10274/5529/4087/996/9184/8454/9133/1029/9126/1874/7709/546/4999/7534/2932/5934",99
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","33/3495","43/8361",0.767441860465116,1.83593172971354,4.65732190362893,3.21279118810725e-06,0.000565451249106877,0.000515737532827743,"35/34/125/10449/51/38/3032/3033/3030/1376/1374/23205/30/37/224/36/124/126/1632/23305/10455/2182/130/219/1892/1962/223/1375/126129/217/2180/33/8310",33
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","67/3495","108/8361",0.62037037037037,1.48409632808774,4.29119667976455,1.59488744661218e-05,0.00187133460402496,0.00170680937269023,"11260/1434/348995/57510/3838/10527/8480/9818/55110/51068/29107/57122/5901/51194/79711/23165/23511/3839/3843/64328/5905/129401/22916/23279/9631/79023/9688/7329/4928/30000/7514/55308/10921/55705/3837/10189/55746/80145/11097/10284/79902/53371/9972/5903/1917/84321/23534/25909/57187/4686/3842/392517/23636/7175/3840/3836/65110/7919/64901/100101267/9883/81929/79228/65109/23225/55706/5411",67
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","27/3495","36/8361",0.75,1.79420600858369,4.04699785459709,5.29998348448626e-05,0.00466398546634791,0.00425393411254818,"4175/5983/6742/5558/5984/10535/4172/5422/5425/54107/2237/1763/57804/5427/79621/4171/6119/4176/5557/23649/4173/5111/5982/3978/246243/5985/5424",27
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","38/3495","57/8361",0.666666666666667,1.59484978540773,3.81893039883512,0.000125866999139182,0.00886103673939841,0.00808198626051589,"35/34/10449/51/38/3032/3033/3030/6319/1376/1374/23205/2194/30/37/31/51495/3992/6342/60481/36/9415/23305/2182/401494/7923/54898/1892/1962/79071/51144/1375/9524/201562/126129/2180/33/8310",38
"Genetic Information Processing","Transcription","hsa03020","RNA polymerase","24/3495","33/8361",0.727272727272727,1.7398361295357,3.60880008406761,0.000310025443459102,0.0181881593496007,0.0165890807464958,"5433/5440/221830/25885/84172/51728/9533/10849/30834/171568/51082/64425/5436/10623/10622/55718/5432/10621/84265/5430/661/27297/5431/5441",24
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","32/3495","48/8361",0.666666666666667,1.59484978540773,3.50259331257512,0.000427578072626219,0.0215010687949184,0.0196107236317288,"35/34/10449/38/3032/3033/3030/30/3155/224/587/36/4329/3158/549/26275/11112/219/4594/27034/259307/1892/1962/3028/54511/223/64064/1629/5096/217/3712/56922",32
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","82/3495","154/8361",0.532467532467532,1.27380859483864,2.9064034251524,0.00251985863411136,0.1108737799009,0.101125905711048,"1311/4233/1282/595/10319/3381/8516/284217/1277/7148/3673/6696/7058/1101/1278/80310/3683/2321/1293/5228/1284/3695/7422/22801/3685/3371/1285/8174/2277/5159/1288/5747/83660/5293/3383/3791/1499/3696/341640/2317/87/64098/3987/5156/83706/5880/5155/3682/3678/3385/9459/1956/3912/1280/29780/1287/3675/5649/80144/3908/7143/3672/3655/3915/998/2200/1286/55612/8503/3082/2335/5296/2064/5829/3909/1297/3687/3910/5879/2932/3681/3479",82
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","52/3495","93/8361",0.559139784946237,1.33761594905164,2.77462868198815,0.00403418946232214,0.157781632304155,0.143909682574065,"596/1030/1282/595/10319/1017/1871/1019/1869/284217/6256/1164/3673/7188/1284/4609/3685/1026/1163/9134/1285/1288/5747/898/598/5293/6502/5925/5728/6258/3912/7186/1287/3675/1870/3908/1647/3655/3915/4149/329/578/1286/8503/842/2335/5296/4792/5915/7709/3909/3910",52
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","53/3495","96/8361",0.552083333333333,1.32073497854077,2.67855883145881,0.00529370589682854,0.186338447568365,0.169955820898179,"290/3570/3589/3815/7850/948/2209/3553/3673/3569/2208/924/1435/3590/925/912/4254/2322/2811/916/930/933/1440/1380/2323/3112/3566/960/917/929/931/926/951/3678/911/952/915/3675/3552/1604/3672/3655/3115/4311/914/920/1441/3111/3117/2057/945/3113/3581",53
